[1000268201_693b08cb0e.jpg#0]	ピンクのドレスの子供は、入り口で階段のセットを登っています。
[1000268201_693b08cb0e.jpg#1]	木造の建物に入る女の子。
[1000268201_693b08cb0e.jpg#2]	小さな女の子が木製の劇場に登る。
[1000268201_693b08cb0e.jpg#3]	彼女の劇場に階段を登る少女。
[1000268201_693b08cb0e.jpg#4]	ピンクのドレスを着た小さな女の子が木製のキャビンに入る。
[1001773457_577c3a7d70.jpg#0]	黒い犬と発見された犬が戦っている
[1001773457_577c3a7d70.jpg#1]	道路上でお互いに遊ぶ黒い犬と3色の犬。
[1001773457_577c3a7d70.jpg#2]	黒い犬と茶色の斑点を持つ白い犬が路上でお互いを見つめている。
[1001773457_577c3a7d70.jpg#3]	道路上でお互いを見ている別の品種の2匹の犬。
[1001773457_577c3a7d70.jpg#4]	舗装の上に2匹の犬が互いに向かって動いている。
[1002674143_1b742ab4b8.jpg#0]	絵の具で覆われた小さな女の子が、手で皿の中に描かれた虹の前に座っています。
[1002674143_1b742ab4b8.jpg#1]	小さな塗られた虹の前に小さな女の子が座っている。
[1002674143_1b742ab4b8.jpg#2]	芝生の小さな女の子が、白いキャンバスの前に指紋で虹を描きます。
[1002674143_1b742ab4b8.jpg#3]	虹の絵の前にピグテールが座っている少女がいる。
[1002674143_1b742ab4b8.jpg#4]	草の中に外に絵を描いている若い女の子。
[1003163366_44323f5815.jpg#0]	彼の犬が座っている間、男はベンチに横たわります。
[1003163366_44323f5815.jpg#1]	男はベンチに横たわり、白い犬も結ばれている。
[1003163366_44323f5815.jpg#2]	彼の隣に座っている白と黒の犬とベンチの外で眠っている男。
[1003163366_44323f5815.jpg#3]	シャツのない男は、犬と公園のベンチに横たわっている。
[1003163366_44323f5815.jpg#4]	地面に座っている犬のひもを持っているベンチに横たわっている男
[1007129816_e794419615.jpg#0]	何かを主演するオレンジ色の帽子の男。
[1007129816_e794419615.jpg#1]	男はオレンジ色の帽子と眼鏡をかけている。
[1007129816_e794419615.jpg#2]	ゲージと眼鏡を持った男は、ブリッツの帽子をかぶっています。
[1007129816_e794419615.jpg#3]	メガネを持った男がビール缶を身に着けています。
[1007129816_e794419615.jpg#4]	耳を突き刺した男は、眼鏡とオレンジ色の帽子をかぶっています。
[1007320043_627395c3d8.jpg#0]	ロープネットで遊んでいる子供。
[1007320043_627395c3d8.jpg#1]	赤いropingに登っている少女。
[1007320043_627395c3d8.jpg#2]	ピンクの少女が公園のロープの橋を登る。
[1007320043_627395c3d8.jpg#3]	小さい子供が遊び場で赤いロープに握っています。
[1007320043_627395c3d8.jpg#4]	小さい子供は遊び場の赤いロープに登る。
[1009434119_febe49276a.jpg#0]	白い柵に囲まれた芝生の庭で、白黒の犬が走っています。
[1009434119_febe49276a.jpg#1]	黒と白の犬が草を駆け抜けています。
[1009434119_febe49276a.jpg#2]	ボストンテリアが芝生で走っています。
[1009434119_febe49276a.jpg#3]	ボストンテリアは、白い柵の前にある青々とした緑の草の上を走っています。
[1009434119_febe49276a.jpg#4]	犬は木の柵の近くの緑の草の上で走ります。
[1012212859_01547e3f17.jpg#0]	犬は海岸の近くで頭を振り、その隣に赤いボールがあります。
[1012212859_01547e3f17.jpg#1]	白い犬がオレンジ色のボールでビーチの端を揺らす。
[1012212859_01547e3f17.jpg#2]	足でオレンジ色のボールを持つ犬は、水を振って岸に立っている
[1012212859_01547e3f17.jpg#3]	白い犬は水の近くの海岸に赤いボールで遊んでいる。
[1012212859_01547e3f17.jpg#4]	白い犬、茶色の耳が頭の近くに立っていて、片側になっている。
[1015118661_980735411b.jpg#0]	町の石造りの壁の前で男の子が微笑む。
[1015118661_980735411b.jpg#1]	小さな男の子が路上に立っていて、全体の男が石の壁に取り組んでいる。
[1015118661_980735411b.jpg#2]	若い男の子が路上を走っています。
[1015118661_980735411b.jpg#3]	若い子供が、金属製の棒と彼の後ろの男と一緒に石の舗装された通りを歩いています。
[1015118661_980735411b.jpg#4]	白いシャツと青いジーンズの男の子を彼の背後にある全体の男と一緒に岩壁の前で笑っている少年。
[1015584366_dfcec3c85a.jpg#0]	黒い犬がログを飛び越えます。
[1015584366_dfcec3c85a.jpg#1]	灰色の犬が倒れた木の上を飛び跳ねています。
[1015584366_dfcec3c85a.jpg#2]	大きな黒い犬が落ちたログを飛び跳ねる。
[1015584366_dfcec3c85a.jpg#3]	落ち着いた木の上を飛ぶ青い襟の黒と灰色の灰色の斑点。
[1015584366_dfcec3c85a.jpg#4]	黒い犬が木の切り株を飛ばした。
[101654506_8eb26cfb60.jpg#0]	茶色の白い犬が雪の中を流れています。
[101654506_8eb26cfb60.jpg#1]	犬は雪の中を走っています
[101654506_8eb26cfb60.jpg#2]	雪の中を走っている犬。
[101654506_8eb26cfb60.jpg#3]	白く茶色の犬が雪で覆われた畑を流れています。
[101654506_8eb26cfb60.jpg#4]	白い茶色の犬と茶色の犬が雪の表面を走っています。
[101669240_b2d3e7f17b.jpg#0]	帽子を着た男性が、青い帽子のスキーヤーの横に写真を表示しています。
[101669240_b2d3e7f17b.jpg#1]	男性は、雪の中に絵画を展示している別の男をスキーします。
[101669240_b2d3e7f17b.jpg#2]	雪の中にフレームの絵を見ながらスキーを着ている人。
[101669240_b2d3e7f17b.jpg#3]	スキーヤーは木々の隣にある雪の中の額入り写真を見ます。
[101669240_b2d3e7f17b.jpg#4]	雪の中で販売するアートワークを見ているスキーの男
[1016887272_03199f49c4.jpg#0]	崖を登る一人のコラージュ。
[1016887272_03199f49c4.jpg#1]	人々のグループは、ロッククライミングの壁にロッククライミングしています。
[1016887272_03199f49c4.jpg#2]	一人の男が恋をしている間にロックを登る人々のグループ
[1016887272_03199f49c4.jpg#3]	他の男がロープを持って立っている間、7人の登山者が岩の顔を登っています。
[1016887272_03199f49c4.jpg#4]	赤い色の男が線を握っている間、列をなす複数の登山家が岩を登っています。
[1019077836_6fc9b15408.jpg#0]	茶色の犬が芝生のスプリンクラーから水を追いかける。
[1019077836_6fc9b15408.jpg#1]	茶色の犬がホースで遊ぶ。
[1019077836_6fc9b15408.jpg#2]	庭のホースの近くの芝生で走っている茶色の犬
[1019077836_6fc9b15408.jpg#3]	犬はホースで遊んでいます。
[1019077836_6fc9b15408.jpg#4]	草の中のスプリンクラーから離れて走っている大きな茶色の犬。
[1019604187_d087bf9a5f.jpg#0]	犬は、近くの車がいるフィールドで投げられたオブジェクトを捕まえる準備をします。
[1019604187_d087bf9a5f.jpg#1]	白い犬は、口の中に黄色のボールをつかまえようとしています。
[1019604187_d087bf9a5f.jpg#2]	白い犬が黄色い犬のおもちゃをキャッチしようとしています。
[1019604187_d087bf9a5f.jpg#3]	白い犬は、空気を飛んでいる黄色のボールをキャッチする準備ができています。
[1019604187_d087bf9a5f.jpg#4]	黄色いボールの後を走っている白い犬
[1020651753_06077ec457.jpg#0]	おもちゃを得るために空中で飛び降りる白黒の犬。
[1020651753_06077ec457.jpg#1]	黒と白の犬が黄色のおもちゃに向かって飛び跳ねる。
[1020651753_06077ec457.jpg#2]	犬がフィールドでボールをキャッチするために飛び跳ねる。
[1020651753_06077ec457.jpg#3]	白い犬は、草原の上の空中でボールをキャッチしようとしています。
[1020651753_06077ec457.jpg#4]	白い犬は緑色のフィールドで黄色のおもちゃで遊んでいます。
[1022454332_6af2c1449a.jpg#0]	子供と女性は大都市の水辺にいます。
[1022454332_6af2c1449a.jpg#1]	それの端に数人の人々と一緒に泳いでいる孤独なアヒルを持つ大きな湖。
[1022454332_6af2c1449a.jpg#2]	アヒルを見ている湖の少年。
[1022454332_6af2c1449a.jpg#3]	若い少年は、緑の公園に囲まれた水の中のアヒルで手を振る。
[1022454332_6af2c1449a.jpg#4]	水と街のスカイラインに面した湖の端に2人がいる。
[1022454428_b6b660a67b.jpg#0]	カップルと乳児は、男性によって保持され、近くで有名人と池の隣に座っている。
[1022454428_b6b660a67b.jpg#1]	夫婦はベビーとベビーカーで芝生に座ります。
[1022454428_b6b660a67b.jpg#2]	新生児と湖に面した木の下に座っているカップル。
[1022454428_b6b660a67b.jpg#3]	男と女は水の脇に幼児を預ける。
[1022454428_b6b660a67b.jpg#4]	赤ちゃんとのカップルは、屋外でベビーカーの横に座っています。
[1022975728_75515238d8.jpg#0]	サーフィンで走っている黒い犬。
[1022975728_75515238d8.jpg#1]	タグ付きの黒いラボが水に浮かぶ。
[1022975728_75515238d8.jpg#2]	犬が水の中で飛び散る
[1022975728_75515238d8.jpg#3]	黒い犬は水を流れます。
[1022975728_75515238d8.jpg#4]	これは水の中に跳ねる黒い犬です。
[102351840_323e3de834.jpg#0]	氷の穴を掘る男。
[102351840_323e3de834.jpg#1]	男が凍った池の氷を掘り下げている。
[102351840_323e3de834.jpg#2]	雪の中の人が氷の穴を開けています。
[102351840_323e3de834.jpg#3]	凍った湖に立っている人。
[102351840_323e3de834.jpg#4]	2人の男が氷釣りです。
[1024138940_f1fefbdce1.jpg#0]	茶色と白い犬の2種類の品種がビーチで遊ぶ。
[1024138940_f1fefbdce1.jpg#1]	2匹の犬が、柔らかい砂浜に乗っています。
[1024138940_f1fefbdce1.jpg#2]	ビーチで砂の中で遊んでいる2匹の犬。
[1024138940_f1fefbdce1.jpg#3]	ビーチで一緒に遊ぶ2匹の犬。
